sub_id	parent_id	phrase	source_page	status_v1
D90-6-00003	D90-6-00002	ۋابا كېسلى ← ۋابا	001_1R.png	unverified
D90-6-00004	D90-6-00002	ۋابا ئىلاھى	001_1R.png	unverified
D90-6-00008	D90-6-00007	ۋاپاغا جاپا قىلماق	001_2L.png	unverified
D90-6-00020	D90-6-00019	ۋاپباغنىڭ ئۈجمىسى ئەمەس	002_2L.png	unverified
D90-6-00053	D90-6-00052	ۋادەك ئۆي	004_1R.png	unverified
D90-6-00085	D90-6-00084	ۋاراڭ-چۇرۇڭ قىلماق	006_1R.png	unverified
D90-6-00086	D90-6-00084	ۋاراڭ-چۇرۇڭ كۆتۈرۈلمەك	006_1R.png	unverified
D90-6-00112	D90-6-00111	ۋارىئاتسىيىلىك ئۇسسۇل	007_2L.png	unverified
D90-6-00125	D90-6-00124	ۋارى-ۋارى قىلماق	008_2L.png	unverified
D90-6-00133	D90-6-00132	ۋازۇ تىلى	009_1R.png	unverified
D90-6-00146	D90-6-00145	ۋاسا تاق	010_1R.png	unverified
D90-6-00147	D90-6-00145	ۋاسا جۈپ	010_1R.png	unverified
D90-6-00176	D90-6-00175	ۋاشاڭ بولماق	012_2L.png	unverified
D90-6-00177	D90-6-00175	ۋاشاڭ قىلماق	012_2L.png	unverified
D90-6-00183	D90-6-00182	ۋاشات قىلماق	013_1R.png	unverified
D90-6-00191	D90-6-00190	ۋاق قالماق	013_1R.png	unverified
D90-6-00199	D90-6-00198	ۋاقتى-سائىتى توشماق	013_2L.png	unverified
D90-6-00200	D90-6-00198	ۋاقتى-سائىتى كەلگەندە	013_2L.png	unverified
D90-6-00242	D90-6-00241	ۋاقىتلىق ئىشچى	016_2L.png	unverified
D90-6-00252	D90-6-00251	ۋاكالەتچىلىك توختامى	017_1R.png	unverified
D90-6-00260	D90-6-00258	ۋاكالىتەن سېتىۋېلىش	017_2L.png	unverified
D90-6-00266	D90-6-00265	ۋاكۇئۇم بوشلۇق ← ۋاكۇئۇم	018_1R.png	unverified
D90-6-00267	D90-6-00265	ۋاكۇئۇم پومپىسى	018_1R.png	unverified
D90-6-00274	D90-6-00273	ۋاگون چاتقۇچ	018_2L.png	unverified
D90-6-00281	D90-6-00280	ۋاڭ ئەنشى قانۇن ئىسلاھاتى	019_1R.png	unverified
D90-6-00317	D90-6-00316	ۋالېنتلىق ئېلېكترون	021_2L.png	unverified
D90-6-00389	D90-6-00388	ۋەج قىلماق	027_1R.png	unverified
D90-6-00393	D90-6-00392	ۋەخپە ئەۋلاد	027_2L.png	unverified
D90-6-00394	D90-6-00392	ۋەخپە قىلماق	027_2L.png	unverified
D90-6-00395	D90-6-00392	ۋەخپە مۇتلەق	027_2L.png	unverified
D90-6-00396	D90-6-00392	ۋەخپە يەر	027_2L.png	unverified
D90-6-00399	D90-6-00398	ۋەدە بەرمەك	028_1R.png	verified
D90-6-00400	D90-6-00398	ۋەدە قىلماق	028_1R.png	verified
D90-6-00401	D90-6-00398	ۋەدىسىدە تۇرماق	028_1R.png	verified
D90-6-00402	D90-6-00398	ۋەدىسىگە ئەمەل قىلماق	028_1R.png	verified
D90-6-00410	D90-6-00409	ۋەز ئېيتماق	029_1R.png	unverified
D90-6-00411	D90-6-00409	ۋەز ئوقۇماق ← ۋەز ئېيتماق	029_1R.png	unverified
D90-6-00421	D90-6-00420	ۋەزىپىنى ئادا قىلالماسلىق جىنايىتى	029_2L.png	unverified
D90-6-00431	D90-6-00430	ۋەزىنلىك شېئىر	030_2L.png	unverified
D90-6-00432	D90-6-00430	ۋەزىنلىك ئوتتۇرىچە سان	030_2L.png	unverified
D90-6-00436	D90-6-00435	ۋەسۋەسىگە چۈشمەك	031_1R.png	unverified
D90-6-00437	D90-6-00435	ۋەسۋەسىگە سالماق	031_1R.png	unverified
D90-6-00441	D90-6-00440	ۋەسىقىسى يوق	031_2L.png	unverified
D90-6-00448	D90-6-00447	ۋەسىيەت قىلىنغان ھەدىيە	032_2L.png	unverified
D90-6-00450	D90-6-00447	ۋەسىيەتلىك ۋارىسلىق	032_2L.png	unverified
D90-6-00458	D90-6-00457	ۋەقەلىك تىياتىر	033_1R.png	unverified
D90-6-00466	D90-6-00465	ۋەكىللىك خەلق ئۇسسۇلى	034_1R.png	unverified
D90-6-00467	D90-6-00465	ۋەكىللىك قىلماق	034_1R.png	unverified
D90-6-00468	D90-6-00465	ۋەكىللىك ئوخشىتىش	034_1R.png	unverified
D90-6-00482	D90-6-00481	ۋەھشەت سالماق	035_1R.png	unverified
D90-6-00490	D90-6-00489	ۋەھىم قىلماق	036_1R.png	unverified
D90-6-00492	D90-6-00491	ۋەھىمىگە چۈشمەك	036_1R.png	unverified
D90-6-00493	D90-6-00491	ۋەھىمە سالماق	036_1R.png	unverified
D90-6-00494	D90-6-00491	ۋەھىمىگە سالماق	036_1R.png	unverified
D90-6-00504	D90-6-00503	ۋەيران قىلىش ئۇرۇشى	037_1R.png	unverified
D90-6-00515	D90-6-00514	ۋودورود بومبىسى	038_1R.png	unverified
D90-6-00531	D90-6-00530	ۋولفراملىق لامپۇچكا ← ۋولفرام چىراغ	039_1R.png	unverified
D90-6-00535	D90-6-00534	ۋولگار سۆز ← ۋولگارىزم	039_2L.png	unverified
D90-6-00539	D90-6-00538	ۋوللاستون پرىزمىسى	040_1R.png	unverified
D90-6-00559	D90-6-00558	ۋۇچاڭ قوزغىلىقى	041_1R.png	unverified
D90-6-00577	D90-6-00576	ۋېتا تېئورېمىسى	043_1R.png	unverified
D90-6-00583	D90-6-00582	ۋېرتىكال بەلباغلىق	044_1R.png	unverified
D90-6-00584	D90-6-00582	ۋېرتىكال تەكشىلىك	044_1R.png	unverified
D90-6-00585	D90-6-00582	ۋېرتىكال جۇغراپىيىلىك بەلباغ	044_1R.png	unverified
D90-6-00586	D90-6-00582	ۋېرتىكال راۋاجلانغان بۇلۇتلار	044_1R.png	unverified
D90-6-00592	D90-6-00591	ۋېرسېرا سىزىقى	044_2L.png	unverified
D90-6-00597	D90-6-00596	ۋېكتورلۇق ئالگېبرا	045_1R.png	unverified
D90-6-00598	D90-6-00596	ۋېكتورلۇق ئانالىز	045_1R.png	unverified
D90-6-00599	D90-6-00596	ۋېكتورلۇق تەڭلىك	045_1R.png	unverified
D90-6-00620	D90-6-00619	ۋېن شەكلى	047_1R.png	unverified
D90-6-00625	D90-6-00624	ۋېنتىل نەيچىسى	047_2L.png	unverified
D90-6-00627	D90-6-00626	ۋېنگر تىلى	047_2L.png	unverified
D90-6-00631	D90-6-00630	ۋېنېرا يىلى	048_1R.png	unverified
D90-6-00652	D90-6-00651	ۋىتىر نامىزى	049_2L.png	unverified
D90-6-00686	D90-6-00685	ۋىدېمان-فرانتىس قانۇنى	051_2L.png	unverified
D90-6-00691	D90-6-00690	ۋىدىئولۇق كۆرسىتىش كارتىسى	052_1R.png	unverified
D90-6-00712	D90-6-00711	ۋىستېرىيە چىڭگىلىكى ← ۋىستېرىيە پېلىكى	053_2L.png	unverified
D90-6-00718	D90-6-00717	ۋىسمۇت چېچىكى	054_1R.png	unverified
D90-6-00732	D90-6-00731	ۋىكسترېمىيە چاتقىلى	055_1R.png	unverified
D90-6-00734	D90-6-00733	ۋىكليۇچاتېل ئالگباراسى	055_1R.png	unverified
D90-6-00753	D90-6-00752	ۋىن سىلجىش قانۇنى	056_1R.png	verified
D90-6-00756	D90-6-00755	ۋىنتىسى بوش ← ۋىنتىسى كەم	056_2L.png	unverified
D90-6-00757	D90-6-00755	ۋىنتىسى كەم	056_2L.png	unverified
D90-6-00759	D90-6-00758	ۋىنتىسىمان دىسلوكاتسىيە	056_2L.png	unverified
D90-6-00765	D90-6-00764	ۋىنتىلىق مىكرومېتىر	057_1R.png	unverified
D90-6-00768	D90-6-00767	ۋىنو كىسلاتاسى ← تارترات كىسلاتاسى	057_1R.png	unverified
D90-6-00794	D90-6-00793	ئېپى-جېپىنى بىلمە	061_1R.png	unverified
D90-6-00803	D90-6-00802	ئېپىك ئەسەر	062_1R.png	unverified
D90-6-00804	D90-6-00802	ئېپىك داستان	062_1R.png	unverified
D90-6-00805	D90-6-00802	ئېپىك شېئىر	062_1R.png	unverified
D90-6-00831	D90-6-00830	ئېتىبارسىز قارىماق	064_2L.png	unverified
D90-6-00850	D90-6-00849	ئېتىش دائىرىسى	066_2L.png	unverified
D90-6-00851	D90-6-00849	ئېتىش قوراللىرى	066_2L.png	unverified
D90-6-00852	D90-6-00849	ئېتىش نۇقتىسى	066_2L.png	unverified
D90-6-00863	D90-6-00862	ئېتىك تام	067_2L.png	unverified
D90-6-00864	D90-6-00862	ئېتىك سىستېما	067_2L.png	unverified
D90-6-00875	D90-6-00874	ئېتىلغان جىسىم	068_2L.png	unverified
D90-6-00877	D90-6-00876	ئېتىلما جىنس	068_2L.png	unverified
D90-6-00878	D90-6-00876	ئېتىلما ئېقىن	068_2L.png	unverified
D90-6-00884	D90-6-00883	ئېتىلېن تالاسى	069_1R.png	unverified
D90-6-00885	D90-6-00883	ئېتىلېن سىمولا	069_1R.png	unverified
D90-6-00888	D90-6-00887	ئېتىلىش مۇساپىسى	069_2L.png	unverified
D90-6-00889	D90-6-00887	ئېتىلىش ئېگىزلىكى	069_2L.png	unverified
D90-6-00893	D90-6-00892	ئېتىماد باغلىماق	069_2L.png	unverified
D90-6-00916	D90-6-00915	ئېچىتىلغان ئوغۇت	071_1R.png	unverified
D90-6-00946	D90-6-00945	ئېچىئۇرىدا قۇرتى	073_2L.png	unverified
D90-6-00951	D90-6-00950	ئېدەر تۇتماق	074_1R.png	unverified
D90-6-00952	D90-6-00950	ئېدەر سالماق	074_1R.png	unverified
D90-6-00953	D90-6-00950	ئېدەر قىلماق	074_1R.png	unverified
