sub_id	parent_id	phrase	source_page	status_v1
D90-4-08983	D90-4-08982	گۆر ئازابى	844_2L.png	unverified
D90-4-08984	D90-4-08982	گۆر ئاغزىدىن يانماق	844_2L.png	unverified
D90-4-08985	D90-4-08982	گۆر ئاغزىغا بېرىپ قالماق	844_2L.png	unverified
D90-4-08986	D90-4-08982	گۆردىن ئېچىۋالغاندەك	844_2L.png	unverified
D90-4-09055	D90-4-09054	گۈر قىلماق	850_1R.png	unverified
D90-4-09057	D90-4-09056	گۈرەن بېزى	850_2L.png	unverified
D90-4-09058	D90-4-09056	گۈرەن تومۇرى	850_2L.png	unverified
D90-4-09059	D90-4-09056	گۈرەن كۆپتۈرمەك	850_2L.png	unverified
D90-4-09093	D90-4-09092	گۈزەللىك تەربىيىسى	853_1R.png	unverified
D90-4-09106	D90-4-09105	گۈڭگۈرتلەشكەن كاۋچۇك	854_1R.png	unverified
D90-4-09110	D90-4-09109	گۈڭگۈرتلۈك ئارىشاڭ	854_2L.png	unverified
D90-4-09174	D90-4-09173	گۈلخان ياقماق ← گۈلخان سالماق	859_2L.png	unverified
D90-4-09182	D90-4-09181	گۈلدۈرى بار، يامغۇرى يوق	860_2L.png	unverified
D90-4-09205	D90-4-09204	گۈلسىز ئۆسۈملۈكلەر	862_2L.png	unverified
D90-4-09212	D90-4-09211	گۈلقەقەلىرى ئېچىلماق	863_1R.png	unverified
D90-4-09245	D90-4-09244	گۈمبەز قۇرۇلما	866_1R.png	unverified
D90-4-09246	D90-4-09244	گۈمبەز نەقىش	866_1R.png	unverified
D90-4-09270	D90-4-09269	گېرتسىن ھەرىكىتى	867_2L.png	unverified
D90-4-09272	D90-4-09271	گېركۇلېس يۇلتۇز تۈركۈمى	867_2L.png	unverified
D90-4-09281	D90-4-09280	گېزىت بېشى	868_2L.png	unverified
D90-4-09282	D90-4-09280	گېزىت نامى	868_2L.png	unverified
D90-4-09301	D90-4-09300	گېلاۋ تىلى	869_2L.png	unverified
D90-4-09319	D90-4-09318	گېنتىئانا سۆسۈنى	871_1R.png	unverified
D90-4-09321	D90-4-09320	گېنرى بىرلىكى	871_2L.png	unverified
D90-4-09340	D90-4-09339	گېئوفىزىكىلىق چارلاش	872_2L.png	unverified
D90-4-09344	D90-4-09343	گېئولوگىيىلىك جەريان	873_1R.png	unverified
D90-4-09345	D90-4-09343	گېئولوگىيىلىك خەرىتە	873_1R.png	unverified
D90-4-09355	D90-4-09354	گېئومېترىيىلىك جىسىم	874_1R.png	unverified
D90-4-09356	D90-4-09354	گېئومېترىيىلىك شەكىل	874_1R.png	unverified
D90-4-09357	D90-4-09354	گېئومېترىيىلىك قاتار ← تېخنىسبە تىلىك قاتار	874_1R.png	unverified
D90-4-09358	D90-4-09354	گېئومېترىيىلىك كرىستاللوگرافىيە	874_1R.png	unverified
D90-4-09359	D90-4-09354	گېئومېترىيىلىك نەقىش	874_1R.png	unverified
D90-4-09362	D90-4-09361	گىببېرېللىن زەمبۇرۇغى	874_2L.png	unverified
D90-4-09375	D90-4-09374	گىپوفىز بېزى ← گىپوفىز	875_2L.png	unverified
D90-4-09376	D90-4-09374	گىپوفىز گورمونى	875_2L.png	unverified
D90-4-09386	D90-4-09385	گىجىڭلىق قىلماق	876_2L.png	unverified
D90-4-09407	D90-4-09406	گىدراۋلىكىلىق	877_2L.png	unverified
D90-4-09416	D90-4-09415	گىدروتېخنىكىلىق قۇرۇلمىلار	878_2L.png	unverified
D90-4-09420	D90-4-09419	گىدرودىنامىكىلىق بېسىم	878_2L.png	unverified
D90-4-09422	D90-4-09421	گىدروسىئانىد كىسلاتا	878_2L.png	unverified
D90-4-09425	D90-4-09424	گىدروستاتىكىلىق بېسىم	879_1R.png	unverified
D90-4-09426	D90-4-09424	گىدروستاتىكىلىق ناپور	879_1R.png	unverified
D90-4-09432	D90-4-09431	گىدروكسىد گورېلكىسى	879_2L.png	unverified
D90-4-09440	D90-4-09439	گىدروگېئولوگىيىلىك خەرىتە	880_1R.png	unverified
D90-4-09443	D90-4-09442	گىدرولۇق رادىئۇس	880_1R.png	unverified
D90-4-09445	D90-4-09444	گىدرولىزلىغۇچى ئېنزىم	880_2L.png	unverified
D90-4-09453	D90-4-09452	گىدروئېنېرگىيىلىك ناپور	881_1R.png	unverified
D90-4-09459	D90-4-09458	گىرە سالماق	881_2L.png	unverified
D90-4-09460	D90-4-09458	گىرە قىلماق	881_2L.png	unverified
D90-4-09489	D90-4-09488	گىرۋەك ئولتۇرۇشمىسى	884_1R.png	unverified
D90-4-09495	D90-4-09494	گىرىپتار بولماق	884_2L.png	unverified
D90-4-09496	D90-4-09494	گىرىپتار قىلماق	884_2L.png	unverified
D90-4-09534	D90-4-09533	گىل رەڭ	888_1R.png	unverified
D90-4-09535	D90-4-09533	گىل سىزما	888_1R.png	unverified
D90-4-09537	D90-4-09536	گىلاس رەڭ	888_1R.png	unverified
D90-4-09538	D90-4-09536	گىلاس مۇرابباسى	888_1R.png	unverified
D90-4-09544	D90-4-09543	گىلەم خۇرجۈن	888_2L.png	unverified
D90-4-09545	D90-4-09543	گىلەم دوپپا	888_2L.png	unverified
D90-4-09546	D90-4-09543	گىلەم نۇسخا	888_2L.png	unverified
D90-4-09608	D90-4-09607	لاتا چاق	895_1R.png	unverified
D90-4-09609	D90-4-09607	لاتا چاينىماق	895_1R.png	unverified
