sub_id	parent_id	phrase	source_page	status_v1
D90-2-00016	D90-2-00015	تاپ ئاچماق	002_2L.png	verified
D90-2-00022	D90-2-00021	تاپ كېلەلمەسلىك	003_2L.png	verified
D90-2-00024	D90-2-00023	تاپا قىلماق	003_2L.png	verified
D90-2-00028	D90-2-00027	تاپان باستى	004_1R.png	verified
D90-2-00054	D90-2-00053	تاپاۋەت بېجى	006_1R.png	unverified
D90-2-00121	D90-2-00120	تاج تۈكى	012_2L.png	unverified
D90-2-00122	D90-2-00120	تاج كىيمەك	012_2L.png	unverified
D90-2-00133	D90-2-00132	تاجسىمان ئارتېرىيە	013_2L.png	unverified
D90-2-00135	D90-2-00134	تاجلىق پانۇسگۈل	013_2L.png	unverified
D90-2-00156	D90-2-00155	تاختىسمان قۇرۇلما	016_1R.png	unverified
D90-2-00260	D90-2-00259	تارتما پۇرۋىنا	024_1R.png	unverified
D90-2-00261	D90-2-00259	تارتما لىم	024_1R.png	unverified
D90-2-00270	D90-2-00269	تارتىش كۈچى	026_2L.png	unverified
D90-2-00296	D90-2-00295	تارقاتقۇچى ئاپپارات	029_2L.png	unverified
D90-2-00297	D90-2-00295	تارقاتقۇچى قۇتۇپ	029_2L.png	unverified
D90-2-00302	D90-2-00301	تارقاق گەردىش	030_1R.png	unverified
D90-2-00323	D90-2-00322	تارلىق قىلماق	032_1R.png	unverified
D90-2-00325	D90-2-00324	تارلىق چالغۇ	032_2L.png	unverified
D90-2-00360	D90-2-00359	تارىشا جىنس	036_1R.png	unverified
D90-2-00364	D90-2-00363	تارىشىسىمان قۇرۇلما	036_2L.png	unverified
D90-2-00373	D90-2-00372	تاز بۇغداي	037_2L.png	unverified
D90-2-00374	D90-2-00372	تاز پولۇ	037_2L.png	unverified
D90-2-00375	D90-2-00372	تاز تەمرەتكىسى	037_2L.png	unverified
D90-2-00387	D90-2-00386	تاس قالماق	039_1R.png	unverified
D90-2-00406	D90-2-00405	تاسما پۇرژىنا	041_1R.png	unverified
D90-2-00407	D90-2-00405	تاسما جۆھەر	041_1R.png	unverified
D90-2-00408	D90-2-00405	تاسما مېتر	041_1R.png	unverified
D90-2-00409	D90-2-00405	تاسما ھەرە	041_1R.png	unverified
D90-2-00415	D90-2-00414	تاسمىلىق چاق	041_2L.png	unverified
D90-2-00453	D90-2-00452	تاشا يۇرت	044_2L.png	unverified
D90-2-00478	D90-2-00477	تاشسامساق ئائىلىسى	046_2L.png	unverified
D90-2-00531	D90-2-00530	تاشلىق جۇۋا	051_2L.png	unverified
D90-2-00579	D90-2-00578	تاغاق سۆڭەك	058_1R.png	unverified
D90-2-00594	D90-2-00593	تاق پالەچ	059_2L.png	unverified
D90-2-00645	D90-2-00644	تاقىر باش	064_2L.png	unverified
D90-2-00682	D90-2-00681	تاكت سىزىقى	067_2L.png	unverified
D90-2-00698	D90-2-00697	تاكىراڭ سالماق	069_1R.png	unverified
D90-2-00746	D90-2-00745	تال باراڭلىق	072_2L.png	unverified
