sub_id	parent_id	phrase	source_page	status_v1
D90-1-00039	D90-1-00038	ئابستراكت ئەمگەك	003_1R.png	verified
D90-1-00076	D90-1-00075	ئاپاق - چاپاق بولۇپ كەتمەك	006_1R.png	unverified
D90-1-00089	D90-1-00088	ئاپتاپپەرەس ئۆسۈملۈكلەر	007_2L.png	unverified
D90-1-00095	D90-1-00094	ئاپتوبۇس بېكىتى	008_1R.png	unverified
D90-1-00099	D90-1-00098	ئاپتورلۇق ھوقۇقى	008_2L.png	unverified
D90-1-00108	D90-1-00107	ئاپتوماتىك قەلەم	009_1R.png	unverified
D90-1-00109	D90-1-00107	ئاپتوماتىك مىلتىق	009_1R.png	unverified
D90-1-00115	D90-1-00114	ئاپتونوم رايون	009_2L.png	unverified
D90-1-00116	D90-1-00114	ئاپتونوم ناھىيە	009_2L.png	unverified
D90-1-00117	D90-1-00114	ئاپتونوم ئوبلاست	009_2L.png	unverified
D90-1-00129	D90-1-00128	ئاپقۇر چىنە	010_2L.png	unverified
D90-1-00150	D90-1-00149	ئات باقار	012_1R.png	unverified
D90-1-00151	D90-1-00149	ئات بەيگىسى	012_1R.png	unverified
D90-1-00152	D90-1-00149	ئات توپى	012_1R.png	unverified
D90-1-00170	D90-1-00169	ئات قويماق	013_2L.png	unverified
D90-1-00171	D90-1-00169	ئات كۆتۈرمەك	013_2L.png	unverified
D90-1-00172	D90-1-00169	ئېتى ئۇلۇغ، سۇپرىسى قۇرۇق	013_2L.png	unverified
D90-1-00210	D90-1-00209	ئاتاكىغا ئۆتمەك	017_1R.png	unverified
D90-1-00212	D90-1-00211	ئاتالغۇسىز	017_1R.png	unverified
D90-1-00213	D90-1-00211	ئاتالغۇلۇق	017_1R.png	unverified
D90-1-00220	D90-1-00219	ئاتامان بولماق	017_2L.png	unverified
D90-1-00228	D90-1-00227	ئاتەش كۆز	018_1R.png	unverified
D90-1-00270	D90-1-00269	ئاتلىق ئەسكەر	021_1R.png	unverified
D90-1-00271	D90-1-00269	ئاتلىق ئەسكەر مىلتىقى	021_1R.png	unverified
D90-1-00272	D90-1-00269	ئاتلىق تۇەن	021_1R.png	unverified
D90-1-00281	D90-1-00280	ئاتموسفېرا ئايلانما ئېقىمى	022_2L.png	unverified
D90-1-00282	D90-1-00280	ئاتموسفېرا بېسىمى	022_2L.png	unverified
D90-1-00325	D90-1-00324	ئاتىلىق تۈزۈمى	026_1R.png	unverified
D90-1-00326	D90-1-00324	ئاتىلىقسىز كۆپىيىش	026_1R.png	unverified
D90-1-00327	D90-1-00324	ئاتىلىق سىستېمىسى	026_2L.png	unverified
D90-1-00328	D90-1-00324	ئاتىلىق گۈل	026_2L.png	unverified
D90-1-00336	D90-1-00335	ئاجرىتىپ چىقارغۇچى توقۇلما	027_2L.png	unverified
D90-1-00367	D90-1-00366	ئاچ سېرىق	031_1R.png	unverified
D90-1-00368	D90-1-00366	ئاچ قاپىيە	031_1R.png	unverified
D90-1-00369	D90-1-00366	ئاچ قىزىل	031_1R.png	unverified
D90-1-00370	D90-1-00366	ئاچ كۆك	031_1R.png	unverified
D90-1-00371	D90-1-00366	ئاچ يېشىل	031_1R.png	unverified
D90-1-00374	D90-1-00373	ئاچا يول	031_1R.png	unverified
