row_id	entry	type	source_page	status_v1
D90-5-00001	م	headword	001_1R.png	unverified
D90-5-00004	مائارىپ	headword	001_2L.png	unverified
D90-5-00005	مائارىپ پراكتىكىسى	headword	001_2L.png	unverified
D90-5-00006	مائارىپ پسىخولوگىيىسى	headword	002_1R.png	unverified
D90-5-00007	مائارىپ تېخنولوگىيىسى	headword	002_1R.png	unverified
D90-5-00008	مائارىپ فاڭجېنى	headword	002_2L.png	unverified
D90-5-00009	مائارىپ فوندى	headword	002_2L.png	unverified
D90-5-00010	مائارىپ قانۇنى	headword	002_2L.png	unverified
D90-5-00011	مائارىپ قۇرۇلمىشۇناسلىقى	headword	002_2L.png	unverified
D90-5-00012	مائارىپ مەمۇرىيىتى ئىلمى	headword	002_2L.png	unverified
D90-5-00013	مائارىپپەرۋەر	headword	003_1R.png	verified
D90-5-00014	مائارىپپەرۋەرلىك	headword	003_1R.png	unverified
D90-5-00015	مائارىپچى	headword	003_1R.png	unverified
D90-5-00016	مائارىپچىلىق	headword	003_1R.png	unverified
D90-5-00017	مائارىپشۇناس	headword	003_2L.png	unverified
D90-5-00017-v1	پېداگوگ	variant	003_2L.png	unverified
D90-5-00018	مائارىپشۇناسلىق	headword	003_2L.png	unverified
D90-5-00018-v1	پېداگوگىكا	variant	003_2L.png	unverified
D90-5-00019	مائاش	headword	003_2L.png	unverified
D90-5-00021	مائاشسىز	headword	003_2L.png	unverified
D90-5-00022	مائاشلىق	headword	003_2L.png	unverified
D90-5-00023	مابەين	headword	003_2L.png	unverified
D90-5-00024	مابەينىدە	headword	003_2L.png	unverified
D90-5-00025	مات	headword	004_1R.png	unverified
D90-5-00026	مات بولماق	headword	004_1R.png	unverified
D90-5-00027	مات قىلماق	headword	004_1R.png	unverified
D90-5-00028	ماتا	headword	004_2L.png	unverified
D90-5-00032	ماتاتماق	headword	004_2L.png	unverified
D90-5-00033	ماتاشماق	headword	004_2L.png	unverified
D90-5-00034	ماتاقچىۋىن	headword	004_2L.png	verified
D90-5-00036	ماتال	headword	004_2L.png	unverified
D90-5-00037	ماتالماق	headword	004_2L.png	unverified
D90-5-00038	ماتانەت	headword	005_1R.png	unverified
D90-5-00039	ماتانەتلىك	headword	005_1R.png	unverified
D90-5-00040	ماتەم	headword	005_1R.png	unverified
D90-5-00042	ماتەم تۇتماق	headword	005_2L.png	unverified
D90-5-00043	ماتەم مارشى	headword	005_2L.png	unverified
