row_id	entry	type	source_page	status_v1
D90-4-00001	ق	headword	001_1R.png	unverified
D90-4-00003	قاباھەت	headword	001_1R.png	unverified
D90-4-00004	قاباھەتلىك	headword	001_2L.png	unverified
D90-4-00005	قابىل	headword	002_1R.png	unverified
D90-4-00006	قابىللىق	headword	002_1R.png	unverified
D90-4-00007	قابىلىيەت	headword	002_1R.png	unverified
D90-4-00008	قابىلىيەتسىز	headword	002_2L.png	unverified
D90-4-00009	قابىلىيەتسىزلىك	headword	002_2L.png	unverified
D90-4-00010	قابىلىيەتلىك	headword	002_2L.png	unverified
D90-4-00011	قاپ	headword	002_2L.png	unverified
D90-4-00012	قاپ تېشەر	headword	003_1R.png	unverified
D90-4-00013	قاپ ياردى	headword	003_1R.png	unverified
D90-4-00014	قاپ يۈرەك	headword	003_1R.png	unverified
D90-4-00015	قاپ يېرىلماق	headword	003_1R.png	unverified
D90-4-00015-v1	دۇمباق يېرىلماق	variant	003_1R.png	unverified
D90-4-00016	قېپىدىن چىقمىغان	headword	003_1R.png	unverified
D90-4-00017	قېپىدىن چىقىپ كەتتمەك	headword	003_1R.png	unverified
D90-4-00017-v1	قېلىپىدىن چىقىپ كەتتمەك	variant	003_1R.png	unverified
D90-4-00018	قېپىنى يارماق	headword	003_1R.png	unverified
D90-4-00020	قاپ بەل	headword	003_2L.png	unverified
D90-4-00021	قاپ ئوتتۇرا	headword	003_2L.png	unverified
D90-4-00022	قاپارتقا	nonstandard	003_2L.png	unverified
D90-4-00023	قاپارتقۇ	headword	003_2L.png	unverified
D90-4-00025	قاپارتما	headword	003_2L.png	unverified
D90-4-00024	قاپارتقۇلۇق	headword	003_2L.png	unverified
D90-4-00026	قاپارتما بەت	headword	004_1R.png	unverified
D90-4-06285	كۆپۈنكى بەت	headword	618_2L.png	unverified
D90-4-00027	قاپارتما نەقىش	headword	004_1R.png	unverified
D90-4-00027-v1	بۆرتمە نەقىش	variant	004_1R.png	unverified
D90-4-00028	قاپارتما ھەيكەل	headword	004_1R.png	unverified
D90-4-00029	قاپارتماق	headword	004_1R.png	unverified
D90-4-00030	قاپارچۇق	headword	004_1R.png	unverified
D90-4-00031	قاپارچۇقلىماق	headword	004_1R.png	unverified
D90-4-00032	قاپارماق	headword	004_1R.png	unverified
D90-4-00033	قاپاق	headword	004_1R.png	unverified
D90-4-00034	قاپاق ئاپېلسىن	headword	004_2L.png	unverified
