sub_id	parent_id	phrase	source_page	status_v1
D90-5-00020	D90-5-00019	مائاش دەرىجىسى ← ئىش ھەققى دەرىجىسى	003_2L.png	verified
D90-5-00029	D90-5-00028	ماتا پاتلىماق	004_2L.png	unverified
D90-5-00030	D90-5-00028	ماتا چۈشۈرمەك	004_2L.png	unverified
D90-5-00031	D90-5-00028	ماتا يۈگۈرمەك	004_2L.png	unverified
D90-5-00041	D90-5-00040	ماتەم بىلدۈرمەك	005_1R.png	unverified
D90-5-00054	D90-5-00053	ماترىئارخاللىق تۈزۈم	006_2L.png	unverified
D90-5-00062	D90-5-00061	ماتورلاشقان قىسىم	007_1R.png	unverified
D90-5-00063	D90-5-00061	ماتورلاشقان ھەربىي يۈرۈش	007_1R.png	unverified
D90-5-00071	D90-5-00070	ماتېرىيال بەرمەك	007_2L.png	unverified
D90-5-00077	D90-5-00076	ماتېرىياللىق نىسبىتى	008_1R.png	unverified
D90-5-00084	D90-5-00083	ماتېرىيالىستىك دىئالېكتىكا	009_1R.png	unverified
D90-5-00089	D90-5-00088	ماتېماتىكىلىق ستاتىستىكا	009_2L.png	unverified
D90-5-00090	D90-5-00088	ماتېماتىكىلىق گېئولوگىيە	009_2L.png	unverified
D90-5-00100	D90-5-00099	ماجالى قالماسلىق	010_2L.png	unverified
D90-5-00101	D90-5-00099	ماجالى يوق	010_2L.png	unverified
D90-5-00106	D90-5-00105	ماجىرا بولماق ← ماجىرا چىقماق	011_1R.png	unverified
D90-5-00107	D90-5-00105	ماجىرا تېرىماق	011_1R.png	unverified
D90-5-00113	D90-5-00112	ماچتا كران	012_1R.png	unverified
D90-5-00158	D90-5-00157	ماددا ئالمىشىش	015_2L.png	unverified
D90-5-00159	D90-5-00157	ماددا بىرلەمچى	015_2L.png	unverified
D90-5-00184	D90-5-00182	مارافونچە يۈگۈرۈش	018_1R.png	unverified
D90-5-00218	D90-5-00217	ماراپ چىشلىمەك	022_2L.png	unverified
D90-5-00220	D90-5-00219	ماز پاختا	023_1R.png	unverified
D90-5-00221	D90-5-00219	ماز پاينەك	023_1R.png	unverified
D90-5-00222	D90-5-00219	مېزى چۇۋۇلماق	023_1R.png	unverified
D90-5-00247	D90-5-00246	مازۇز بولماق	025_2L.png	unverified
D90-5-00260	D90-5-00259	ماسسا سانى	026_2L.png	unverified
D90-5-00263	D90-5-00262	ماسشتابلىق سىزغۇچ	027_1R.png	unverified
D90-5-00270	D90-5-00269	ماسلاشقانلارنىڭ ياشاپ قېلىشى	027_2L.png	unverified
D90-5-00310	D90-5-00309	ماشىنىلاشقان قىسىم	030_2L.png	unverified
D90-5-00313	D90-5-00312	ماشىنىلىق قۇدۇق	030_2L.png	unverified
D90-5-00315	D90-5-00314	ماغدۇر كەتمەك	030_2L.png	unverified
D90-5-00338	D90-5-00337	ماقۇل بولماق	033_1R.png	unverified
D90-5-00339	D90-5-00337	ماقۇل تاپماق	033_1R.png	unverified
D90-5-00356	D90-5-00355	ماك بولماق	035_1R.png	unverified
D90-5-00363	D90-5-00362	ماكان تۇتماق	035_2L.png	unverified
D90-5-00384	D90-5-00383	ماكېدونىيە خاندانلىقى	037_2L.png	unverified
D90-5-00392	D90-5-00391	ماگما بىرىكمىسى	039_1R.png	unverified
